trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0,55,0,106.83169429999998,,106.8214802,106.83169429999998,107.83292030000007,107.83292030000007,108.77158000000009,0,up,1,0.9316776000000573,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
56,0,56,0,108.78402330000017,,108.77392520000012,108.78402330000017,109.7851733,109.7851733,110.35670400000004,1,up,0,0.5564634999998361,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
57,0,57,0,110.36907080000015,,110.35904070000015,110.36907080000015,111.37026820000006,111.37026820000006,112.05851840000014,-3,down,1,0.6807599000001119,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
58,0,58,0,112.07097199999998,,112.06087290000005,112.07097199999998,113.0721030000002,113.0721030000002,114.02742330000001,1,up,0,0.941153199999917,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
59,0,59,0,114.03975910000008,,114.02978330000019,114.03975910000008,115.04091730000005,115.04091730000005,115.8627054000001,2,up,0,0.8064847000000555,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
60,0,60,0,115.8751036000001,,115.86506680000002,115.8751036000001,116.87617460000001,116.87617460000001,117.43123400000013,-5,down,1,0.5427214999999705,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
61,0,61,0,117.44352010000011,,117.43523770000002,117.44352010000011,118.44561840000006,118.44561840000006,119.09966970000005,-5,down,1,0.6444215999999869,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
62,0,62,0,119.11194730000011,,119.10201640000014,119.11194730000011,120.11314270000003,120.11314270000003,120.83485960000007,-5,down,1,0.7089977000000545,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
63,0,63,0,120.8472263000001,,120.83724610000013,120.8472263000001,121.84838460000014,121.84838460000014,123.34128099999998,-2,down,1,1.4749709000000166,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
64,0,64,0,123.34984540000005,,123.34358300000008,123.34984540000005,124.3511152000001,124.3511152000001,125.00623130000008,0,up,1,0.6526142000000164,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
