pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,,,,,25,1,101,2,743.8709142999724,,743.8489891999634,743.8709142999724,744.87194490002,744.87194490002,744.87194490002,744.87194490002,744.9057302000001,745.8731630999828,745.8731630999828,746.415475100046,c,1,0.5276039000600576,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,,,,,25,2,102,0,746.4404508000007,,746.4180183999706,746.4404508000007,747.4413905000547,747.4413905000547,747.4413905000547,747.4413905000547,747.4749824999599,748.4426777999615,748.4426777999615,749.1182771000313,x,1,0.6630688000004739,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,25,3,103,1,749.1438072000165,,749.1208224999718,749.1438072000165,750.1443810999626,750.1443810999626,750.1443810999626,750.1443810999626,750.1776724000229,751.1455145999789,751.1455145999789,751.7550099999644,v,1,0.5907453000545502,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,26,0,104,1,751.7795033999719,,751.757540200022,751.7795033999719,752.7805227000499,752.7805227000499,752.7805227000499,752.7805227000499,752.8139339999761,753.7819235000061,753.7819235000061,754.3243045000127,v,1,0.5292877999600023,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,26,1,105,3,754.3491194000235,,754.3268585000187,754.3491194000235,755.350121299969,755.350121299969,755.350121299969,755.350121299969,755.3833575999597,756.351320900023,756.351320900023,756.9934887000127,z,1,0.6123063999693841,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,26,2,106,1,757.0186837000074,,756.996006899979,757.0186837000074,758.0196286999853,758.0196286999853,758.0196286999853,758.0196286999853,758.0529536000686,759.0208871000214,759.0208871000214,759.7971939999843,v,1,0.774525300017558,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,26,3,107,2,759.8216635000426,,759.7997979000211,759.8216635000426,760.8227000000188,760.8227000000188,760.8227000000188,760.8227000000188,760.8560650000582,761.823984800023,761.823984800023,762.4665912999772,c,1,0.6328780999174342,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,27,0,108,2,762.4912280000281,,762.469186100061,762.4912280000281,763.4922480999958,763.4922480999958,763.4922480999958,763.4922480999958,763.525793400011,764.4936636000639,764.4936636000639,765.0026073000627,c,1,0.47960560000501573,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,27,1,109,1,765.0273836000124,,765.0051833000034,765.0273836000124,766.0283680000575,766.0283680000575,766.0283680000575,766.0283680000575,766.0617204000009,767.0296449000016,767.0296449000016,767.5721405000659,v,1,0.5253397000487894,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,27,2,110,2,767.5973934000358,,767.5747135999845,767.5973934000358,768.5823068000609,768.5823068000609,768.5823068000609,768.5823068000609,768.5988123000134,769.6158338000532,769.6158338000532,770.2917235000059,c,1,0.6586212000111118,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,,,,,27,3,111,0,770.3165034999838,,770.2942776000127,770.3165034999838,771.3175502000377,771.3175502000377,771.3175502000377,771.3175502000377,771.3508976000594,772.3188408999704,772.3188408999704,772.9950564999599,x,1,0.6743749000597745,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,28,0,112,1,773.019740800024,,772.9976185000269,773.019740800024,774.0374564999947,774.0374564999947,774.0374564999947,774.0374564999947,774.0374564999947,775.0383886999916,775.0383886999916,775.5471284000669,v,1,0.4957751000765711,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,28,1,113,3,775.5720354999648,,775.5496857999824,775.5720354999648,776.5733795000706,776.5733795000706,776.5733795000706,776.5733795000706,776.6065652000252,777.5744728000136,777.5744728000136,778.0833596000448,z,1,0.49859099998138845,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,,,,,28,2,114,0,778.1083709000377,,778.0859252000228,778.1083709000377,779.1093488000333,779.1093488000333,779.1093488000333,779.1093488000333,779.1426833999576,780.1110657000681,780.1110657000681,780.7536905000452,x,1,0.6152231000596657,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,28,3,115,3,780.7781791000161,,780.7561838000547,780.7781791000161,781.7790051000193,781.7790051000193,781.7790051000193,781.7790051000193,781.8123004999943,782.7801769999787,782.7801769999787,783.4227289999835,z,1,0.620956200058572,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,29,0,116,3,783.4476167999674,,783.4253170000156,783.4476167999674,784.4485356999794,784.4485356999794,784.4485356999794,784.4485356999794,784.4819086999632,785.4498093000147,785.4498093000147,786.0252360999584,z,1,0.5556176999816671,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,29,1,117,2,786.0504038999788,,786.02779870003,786.0504038999788,787.0514037000248,787.0514037000248,787.0514037000248,787.0514037000248,787.0848730000434,788.0526989999926,788.0526989999926,788.7952761000488,c,1,0.708519299980253,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,,,,,29,2,118,0,788.8203841999639,,788.7980365999974,788.8203841999639,789.8211026999634,789.8211026999634,789.8211026999634,789.8211026999634,789.8545195000479,790.8222951999633,790.8222951999633,791.331148999976,x,1,0.49465989996679127,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,29,3,119,1,791.3561002999777,,791.333736200002,791.3561002999777,792.3572020999854,792.3572020999854,792.3572020999854,792.3572020999854,792.3905588999623,793.358470999985,793.358470999985,793.9008700000122,v,1,0.5181358999107033,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,30,0,120,2,793.9257290000096,,793.9034409000305,793.9257290000096,794.9267422000412,794.9267422000412,794.9267422000412,794.9267422000412,794.9600049000001,795.928006400005,795.928006400005,796.5701499000425,c,1,0.6301658999873325,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,30,1,121,3,796.595312200021,,796.5728044999996,796.595312200021,797.5963322999887,797.5963322999887,797.5963322999887,797.5963322999887,797.6297182000708,798.5977588000242,798.5977588000242,799.2067719000624,z,1,0.6020055999979377,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-50,x,,,,,30,2,122,0,799.2316854000092,,799.2092873000074,799.2316854000092,800.2325391999912,800.2325391999912,800.2325391999912,800.2325391999912,800.2659884999739,801.2337049000198,801.2337049000198,801.8431302000536,x,1,0.6010302000213414,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,30,3,123,2,801.867785600014,,801.8456979000475,801.867785600014,802.8688985999906,802.8688985999906,802.8688985999906,802.8688985999906,802.9023350999923,803.8700152999954,803.8700152999954,804.5459101999877,c,1,0.6716428000945598,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,31,0,124,3,804.5706248000497,,804.548509699991,804.5706248000497,805.5716841999674,805.5716841999674,805.5716841999674,805.5716841999674,805.6050235000439,806.5729238999775,806.5729238999775,807.1149688999867,z,1,0.5254026000620797,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,31,1,125,2,807.1403407000471,,807.1175156000536,807.1403407000471,808.1411785000237,808.1411785000237,808.1411785000237,808.1411785000237,808.1746212999569,809.142428799998,809.142428799998,809.8348182999762,c,1,0.6769249000353739,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
